race_id,gap_rank_upper,gap_rank_lower,upper_horse,lower_horse,upper_score,lower_score,raw_gap,gap_ratio,cluster_above_size,gap_percentile,gap_strength,is_major_gap
2026-0704-02-01-07-08,2,3,ダノンヒストリー,グランアルト,0.22285710850417412,0.09481247346678265,0.12804463503739147,2.3505041093802035,2,98.75704020198097,98.75704020198097,1
2026-0704-02-01-07-08,3,4,グランアルト,アスクファイアモア,0.09481247346678265,0.0853354286906666,0.00947704477611605,1.1110563914838876,3,60.458341425519514,60.458341425519514,0
2026-0704-02-01-07-08,4,5,アスクファイアモア,ペリプルス,0.0853354286906666,0.0786702551074348,0.006665173583231793,1.0847229181363351,4,51.50514663041367,51.50514663041367,0
2026-0704-02-01-07-08,5,6,ペリプルス,ニューアライブ,0.0786702551074348,0.07049614758085948,0.008174107526575325,1.1159511236723905,5,56.690619537774324,56.690619537774324,0
2026-0704-02-01-07-08,6,7,ニューアライブ,サイモンイロハニー,0.07049614758085948,0.028297526825636916,0.042198620755222564,2.4912476632760563,6,89.93979413478345,89.93979413478345,0
2026-0704-02-01-07-09,1,2,グレーヌドジョワ,タイキルッジェーロ,0.1411037860358177,0.1321148067371487,0.008988979298668986,1.068039151104033,1,59.25422412118858,59.25422412118858,0
2026-0704-02-01-07-09,2,3,タイキルッジェーロ,ゴーゴータカシ,0.1321148067371487,0.11888528331199287,0.013229523425155834,1.1112797400704117,2,68.71237133423966,68.71237133423966,0
2026-0704-02-01-07-09,3,4,ゴーゴータカシ,グランセゾン,0.11888528331199287,0.11301622844180906,0.0058690548701838124,1.0519310806164952,3,48.26179840745775,48.26179840745775,0
2026-0704-02-01-07-09,4,5,グランセゾン,ウインベラーノ,0.11301622844180906,0.10262942808040937,0.01038680036139969,1.1012068424785697,4,62.38104486308021,62.38104486308021,0
2026-0704-02-01-07-09,5,6,ウインベラーノ,アルディスティーノ,0.10262942808040937,0.06610106747356777,0.0365283606068416,1.5526137777040956,5,87.88114196931443,87.88114196931443,0
2026-0704-02-01-07-09,6,7,アルディスティーノ,マイバラード,0.06610106747356777,0.0545537733929043,0.011547294080663469,1.2116681095090922,6,65.25538939599922,65.25538939599922,0
2026-0704-02-01-07-09,7,8,マイバラード,スタードメイソン,0.0545537733929043,0.016817717248261803,0.037736056144642496,3.24382748191005,7,88.40551563410371,88.40551563410371,0
2026-0704-02-01-07-09,8,9,スタードメイソン,キセキノエンジェル,0.016817717248261803,0.010748644414183231,0.006069072834078572,1.564636115980375,8,49.019227034375604,49.019227034375604,0
2026-0704-02-01-07-10,1,2,ディアウス,ケイアイアギト,0.31668931894272695,0.2877568461792279,0.02893247276349903,1.100544863302674,1,84.44358127791804,84.44358127791804,0
2026-0704-02-01-07-10,2,3,ケイアイアギト,セボンサデッセ,0.2877568461792279,0.23096869168342465,0.05678815449580327,1.2458694902841614,2,93.12487861720723,93.12487861720723,1
2026-0704-02-01-07-10,3,4,セボンサデッセ,エアニゲラ,0.23096869168342465,0.15938303634234266,0.071585655341082,1.4491422486601488,3,95.08642454845601,95.08642454845601,1
2026-0704-02-01-07-10,4,5,エアニゲラ,ストラーダ,0.15938303634234266,0.12271627283647034,0.03666676350587232,1.2987930015991753,4,87.93940570984657,87.93940570984657,0
2026-0704-02-01-07-10,5,6,ストラーダ,ギマール,0.12271627283647034,0.10679673457918662,0.01591953825728372,1.1490639046222884,5,72.8296756651777,72.8296756651777,0
2026-0704-02-01-07-10,6,7,ギマール,バタール,0.10679673457918662,0.10584031844096704,0.0009564161382195763,1.0090364064687978,6,19.013400660322393,19.013400660322393,0
2026-0704-02-01-07-10,7,8,バタール,ライフゲート,0.10584031844096704,0.0783445225115578,0.027495795929409247,1.350960029469232,7,83.62788891046804,83.62788891046804,0
