race_id,anchor,opponent_cluster,opponent_count,quinella_tickets,quinella_hit,quinella_stake,quinella_return,quinella_roi,exacta_tickets,exacta_hit,exacta_stake,exacta_return,exacta_roi,wide_tickets,wide_stake,wide_return,wide_roi
2026-0711-02-01-09-09,クリスレジーナ,エトワールブーケ/サイン/モルビド/ドルチェリターン/ハルフロンティア/デルシエロ/メイショウソラリス/エオアリイ/ゼアズノープレイス,9,9,0,900,0.0,0.0,9,0,900,0.0,0.0,9,900,0.0,0.0
2026-0711-02-01-09-11,インパクトシー,インヴォーグ/カテリーナ/ウイントレメンデス/ショウナンサムデイ/ウィープディライト/ミッキージュエリー/ドゥカート/アイスグリーン/ソリダリティ/ノーブルスカイ/ピンクジン,11,11,0,1100,0.0,0.0,11,0,1100,0.0,0.0,11,1100,0.0,0.0
2026-0711-02-01-09-12,ビップムーラン,タイセイブルーム/ワイドデコラシオン/スパークルジョイ/テーオーナタリー/メイショウハッブル/ジュウオウ/レネネト,7,7,1,700,360.0,51.42857142857142,7,1,700,480.0,68.57142857142857,7,700,1020.0,145.7142857142857
2026-0711-03-02-05-01,トゥラッタッタ,ネイチャーシップ,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
2026-0711-03-02-05-02,サイモンセレーノ,タマモチョコチップ,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,220.0,220.00000000000003
2026-0711-03-02-05-03,キャピタルストーン,トーセンマスラオ/タイセイアドーレ/ジーティーフクジ/シャインラブ/マイネルリコルディ/コールドスリープ/ジュネストレイル/シアルナーレ/モーモーゼロ/オーケーマドンナ,10,10,0,1000,0.0,0.0,10,0,1000,0.0,0.0,10,1000,590.0,59.0
2026-0711-03-02-05-04,ゴールドプレイヤー,セブンワンダーズ/マーゴットリック/ロードプレリュード/ロイヤルタイム/ツクバアヴァロン/ドゥーニ/ルールオーヴァー/ヤマタケボニータ/イケイケルノワール/パワポケウォーズ/フッカツノジャンボ/エビスディアーナ,12,12,0,1200,0.0,0.0,12,0,1200,0.0,0.0,12,1200,0.0,0.0
2026-0711-03-02-05-06,ウインテラジーナ,ムーングレイル/ポポラヴィスタ/レッドフリーマン/ジョブックボー/フライングビーナス/セーヌデローヴ/ルンベーラ/シルバープレミア/サトノアンナ/パーフェクトスノー/サファイアプレミア/ミスデルマー/ケイアイギルス/ブルーブロディ,14,14,0,1400,0.0,0.0,14,0,1400,0.0,0.0,14,1400,0.0,0.0
2026-0711-03-02-05-07,ドナルンバ,ヴァンデスペランス/ボニープリンス,2,2,0,200,0.0,0.0,2,0,200,0.0,0.0,2,200,0.0,0.0
2026-0711-03-02-05-08,アイムインディ,マサノピンクレディ/ブーケドリス/ミッシオーネ/フラッシュポイント/ハルノアラシ/チェルシー/ダノンリュラ/イズルード/ラエトゥス/エーティータキオン/アイファーリーベン,11,11,0,1100,0.0,0.0,11,0,1100,0.0,0.0,11,1100,0.0,0.0
2026-0711-03-02-05-09,アメティスタ,キングズトゥルー/キンググローリー/モルトマエストーソ/スズカミエール/ヴァイザーバルコ/オルトパラティウム/ビッグベルーガ/ウインマイルート/サトノトルネード/クリフハンガー/ハイラント/ヒストリアイ,12,12,0,1200,0.0,0.0,12,0,1200,0.0,0.0,12,1200,0.0,0.0
2026-0711-03-02-05-11,クリエープキー,レッドアヴァンティ/マサノカナリア/シークレットヴァウ/ゾンニッヒ/カウンターセブン/ショウナンハクラク/クムシラコ/マイネルジェロディ,8,8,0,800,0.0,0.0,8,0,800,0.0,0.0,8,800,0.0,0.0
2026-0711-10-02-05-01,ミエルモーサ,カレンハウ/キムケンシーサー/クリコキアナ,3,3,0,300,0.0,0.0,3,0,300,0.0,0.0,3,300,0.0,0.0
2026-0711-10-02-05-02,ダイメイクマモト,タガノラヴズワン/ルパピヨンブラン,2,2,0,200,0.0,0.0,2,0,200,0.0,0.0,2,200,0.0,0.0
2026-0711-10-02-05-03,トラカイキャッスル,ベルトナリテ/クランズクラウン/タイセイアビオン/ソニックブーム/ゴールドアベニュー/ビシェノ/ワラビガミ/フィエールシャンテ/ハナコトバ/アメジストブリエ/ワンダースアン/フィニステーレ/メイショウタカネ/マスアンジュ/マコトエウロペ/メイショウバルキア/ドントゥール,17,17,0,1700,0.0,0.0,17,0,1700,0.0,0.0,17,1700,0.0,0.0
2026-0711-10-02-05-04,ジョーカー,ゴールデンドラゴン,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
2026-0711-10-02-05-06,チュウワメロディー,ヒッグスボソン,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,230.0,229.99999999999997
2026-0711-10-02-05-07,カラペルソナ,ウインラウダ/サントルドパリ/エイシンビーコン/トップオブザライン/メイショウアボット/トモジャプレジール/ハレアカラフラ/ゼットエイト/トラストエムシー,9,9,0,900,0.0,0.0,9,0,900,0.0,0.0,9,900,0.0,0.0
2026-0711-10-02-05-08,ジョアン,オヤツノジカン/シエーナカラー/エイコーンドリーム/ベルメサイア/アンリーベイビー,5,5,0,500,0.0,0.0,5,0,500,0.0,0.0,5,500,0.0,0.0
2026-0711-10-02-05-09,タガノアルトゥーラ,バリオス/ウインリュクス/ジュンライデン/フリーガー/レッドヴァリアート/カレンラップスター/ミッドタウンナイト/ヴェストラン/ダノンアンチュラス,9,9,0,900,0.0,0.0,9,0,900,0.0,0.0,9,900,0.0,0.0
2026-0711-10-02-05-12,ムーンリットアイル,ダノンプリマ,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
2026-0712-02-01-10-01,スイーヴル,マーゴットオネイロ,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
2026-0712-02-01-10-03,ビンバラ,ホウオウロレンシア,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
2026-0712-02-01-10-04,ヴィラジョヴィス,タケルフォーカス/ハルノアメ,2,2,0,200,0.0,0.0,2,0,200,0.0,0.0,2,200,0.0,0.0
2026-0712-02-01-10-06,ルージュフィーリア,サトノフレイ,1,1,0,100,0.0,0.0,1,0,100,0.0,0.0,1,100,0.0,0.0
2026-0712-02-01-10-07,コイタマチャン,マリブサーフ/アリストクラシア/ヒミノエトワール/デルマサクラサク/バシリス/ウィンターガーデン/サウンドルーチェ/リピース,8,8,0,800,0.0,0.0,8,0,800,0.0,0.0,8,800,0.0,0.0
