race_id,rank,horse_id,horse_name,prediction_score,cluster_id,cluster_size,is_anchor,is_primary_opponent,gap_before,gap_after
2026-0712-10-02-06-02,9,2023103848,トーアウィリアム,0.02270158828755354,4,10,0,0,0.012434381350757698,0.0053076335711327825
2026-0712-10-02-06-02,10,2023100197,ハクサンリング,0.01739395471642076,4,10,0,0,0.0053076335711327825,0.005729893317040517
2026-0712-10-02-06-02,11,2023106662,シュタルク,0.011664061399380242,4,10,0,0,0.005729893317040517,2.3799044397152316e-05
2026-0712-10-02-06-02,12,2023105204,メイショウアヤカ,0.01164026235498309,4,10,0,0,2.3799044397152316e-05,0.0006667527461596112
2026-0712-10-02-06-02,13,2023100287,ジョーヴェスタ,0.010973509608823479,4,10,0,0,0.0006667527461596112,0.0026483558877545103
2026-0712-10-02-06-02,14,2023103017,フチサンチャチャ,0.008325153721068968,4,10,0,0,0.0026483558877545103,0
2026-0712-10-02-06-03,1,2023105017,チェファルー,0.21911120313634025,1,2,1,0,0,0.019446126940921044
2026-0712-10-02-06-03,2,2023107236,ラルヴァンダード,0.1996650761954192,1,2,0,0,0.019446126940921044,0.07154149069866694
2026-0712-10-02-06-03,3,2023106218,ブルーザー,0.12812358549675226,2,2,0,1,0.07154149069866694,0.00605359320470894
2026-0712-10-02-06-03,4,2023105829,ダノンワンダー,0.12206999229204332,2,2,0,1,0.00605359320470894,0.05753688406528627
2026-0712-10-02-06-03,5,2023103758,ヴィスメンティス,0.06453310822675705,3,11,0,0,0.05753688406528627,0.014288832498866831
2026-0712-10-02-06-03,6,2023102013,ロイドウェバー,0.05024427572789022,3,11,0,0,0.014288832498866831,0.01076280417874284
2026-0712-10-02-06-03,7,2023103243,グレイイメル,0.03948147154914738,3,11,0,0,0.01076280417874284,0.0011564641582387444
2026-0712-10-02-06-03,8,2023101893,スーパービジー,0.03832500739090863,3,11,0,0,0.0011564641582387444,0.00256124144071241
2026-0712-10-02-06-03,9,2023102765,ルクスユアン,0.03576376595019622,3,11,0,0,0.00256124144071241,0.005007341446981815
2026-0712-10-02-06-03,10,2023106998,ジュンヴァッテッド,0.03075642450321441,3,11,0,0,0.005007341446981815,0.00035468126664320657
2026-0712-10-02-06-03,11,2023105211,アージュドール,0.030401743236571202,3,11,0,0,0.00035468126664320657,0.004057908209123259
2026-0712-10-02-06-03,12,2023104289,キービート,0.026343835027447943,3,11,0,0,0.004057908209123259,0.002102297584419613
2026-0712-10-02-06-03,13,2023101640,ワンダーシャッフル,0.02424153744302833,3,11,0,0,0.002102297584419613,0.015368751304153716
2026-0712-10-02-06-03,14,2023106139,レヴロード,0.008872786138874614,3,11,0,0,0.015368751304153716,0.0013166680089994305
2026-0712-10-02-06-03,15,2023105865,ウインビスタ,0.007556118129875183,3,11,0,0,0.0013166680089994305,0
2026-0712-10-02-06-04,1,2023102357,ブランチアウト,0.25993627281165205,1,1,1,0,0,0.04921111845619236
2026-0712-10-02-06-04,2,2023106652,セルヴァジオ,0.2107251543554597,2,4,0,1,0.04921111845619236,0.006219450614700556
2026-0712-10-02-06-04,3,2023103248,ラミエルノムスコ,0.20450570374075913,2,4,0,1,0.006219450614700556,0.00855506832027908
2026-0712-10-02-06-04,4,2023103795,タイムレスフレアー,0.19595063542048005,2,4,0,1,0.00855506832027908,0.006544480259253804
2026-0712-10-02-06-04,5,2023105417,レッドパラジウム,0.18940615516122625,2,4,0,1,0.006544480259253804,0.059758062636725645
2026-0712-10-02-06-04,6,2023104075,フェブリノ,0.1296480925245006,3,1,0,0,0.059758062636725645,0.06564319438198919
2026-0712-10-02-06-04,7,2023105522,エイシンニケ,0.06400489814251141,4,7,0,0,0.06564319438198919,0.004375138156929935
2026-0712-10-02-06-04,8,2023105399,スリーロンドン,0.059629759985581475,4,7,0,0,0.004375138156929935,0.038195880019943576
2026-0712-10-02-06-04,9,2023104906,グランスプリント,0.021433879965637895,4,7,0,0,0.038195880019943576,0.0019125304891590873
2026-0712-10-02-06-04,10,2023103368,ゴリョウセイ,0.019521349476478808,4,7,0,0,0.0019125304891590873,0.002254039632145634
2026-0712-10-02-06-04,11,2023100986,サンタカリス,0.017267309844333174,4,7,0,0,0.002254039632145634,0.0017225200536205819
2026-0712-10-02-06-04,12,2023105884,ウインラブソング,0.015544789790712592,4,7,0,0,0.0017225200536205819,0.004175995878989628
2026-0712-10-02-06-04,13,2023103507,シャドウクライ,0.011368793911722965,4,7,0,0,0.004175995878989628,0
2026-0712-10-02-06-05,1,2024101202,サイモンレガシー,0.11872110953444903,1,8,1,0,0,0.0
2026-0712-10-02-06-05,2,2024106989,シュガーハウス,0.11872110953444903,1,8,0,0,0.0,0.0
2026-0712-10-02-06-05,3,2024105437,シュプレヒコール,0.11872110953444903,1,8,0,0,0.0,0.0
2026-0712-10-02-06-05,4,2024106098,ロクメイカン,0.11872110953444903,1,8,0,0,0.0,0.0
2026-0712-10-02-06-05,5,2024105969,フェーエンハフト,0.11872110953444903,1,8,0,0,0.0,0.0
2026-0712-10-02-06-05,6,2024105746,シックパラソル,0.11872110953444903,1,8,0,0,0.0,0.0
2026-0712-10-02-06-05,7,2024106314,エルドボルグ,0.11872110953444903,1,8,0,0,0.0,0.0
2026-0712-10-02-06-05,8,2024104857,パーセンタイル,0.11872110953444903,1,8,0,0,0.0,0
2026-0712-10-02-06-06,1,2024107153,アンドヴェローナ,0.11047290715462127,1,9,1,0,0,0.0
2026-0712-10-02-06-06,2,2024106380,アトランタ,0.11047290715462127,1,9,0,0,0.0,0.0
2026-0712-10-02-06-06,3,2024105038,ジョン,0.11047290715462127,1,9,0,0,0.0,0.0
2026-0712-10-02-06-06,4,2024101644,マルモリムソウ,0.11047290715462127,1,9,0,0,0.0,0.0
2026-0712-10-02-06-06,5,2024104705,ビバームス,0.11047290715462127,1,9,0,0,0.0,0.0
2026-0712-10-02-06-06,6,2024105630,アームズラムレイ,0.11047290715462127,1,9,0,0,0.0,0.0
2026-0712-10-02-06-06,7,2024101083,ララララブソング,0.11047290715462127,1,9,0,0,0.0,0.0
2026-0712-10-02-06-06,8,2024102592,ブラックブレット,0.11047290715462127,1,9,0,0,0.0,0.0
2026-0712-10-02-06-06,9,2024104870,コパノキャンペーン,0.11047290715462127,1,9,0,0,0.0,0
