race_id,horse_name,actual_finish,odds,model_d_rank,model_e_rank,model_d_score,model_e_score,rank_change,last1_finish,last1_margin,last1_raw_performance,last1_adjusted_performance,hidden_strength_last1,max_hidden_strength_last3,max_strong_against_bias_last3,setup_improvement,last1_race_position_bias,last1_position_advantage
2026-0726-04-02-02-08,エターナルプロミス,7,419.0,12,10,0.03993910128700542,0.04312135687129656,2,6,7.0,0.4473432142218683,0.4473432142218683,0.0,0.001041666666666663,0.004166666666666662,-0.0,0.0,0.0
2026-0726-04-02-02-11,ブラックティンカー,8,75.0,7,5,0.049573490718464154,0.05305665460987512,2,15,16.0,0.22586316002259352,0.22586316002259352,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0726-07-02-02-09,フルールジェンヌ,5,80.0,4,2,0.15024722969767343,0.1770853886993877,2,4,2.0,0.5341341132946451,0.5341341132946451,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0726-07-02-02-09,ゴージャス,13,417.0,11,9,0.02824816910277775,0.029118076394338364,2,10,7.0,0.3677964952457258,0.3677964952457258,0.0,0.03188775510204084,0.12755102040816327,-0.0,0.0,0.0
2026-0726-07-02-02-10,キーンセンス,5,63.0,12,10,0.03102528538051363,0.040278695120093695,2,10,8.0,0.360134185051161,0.360134185051161,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0801-01-01-03-06,セガンティーニ,3,87.0,5,3,0.06038055872182568,0.07559832261622833,2,12,6.0,0.25459788710072223,0.25459788710072223,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0801-01-01-03-08,サマーナイト,3,179.0,8,6,0.051157647770422254,0.0565359593060145,2,6,10.0,0.4508812749804287,0.4508812749804287,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0801-01-01-03-10,ユーティジャーニー,8,181.0,9,7,0.05986870124244588,0.07993636631283145,2,8,6.0,0.39352128254585683,0.39352128254585683,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0801-04-02-03-01,サザンキンレンカ,4,406.0,7,5,0.033234278498410944,0.041226604847372866,2,7,17.0,0.3740809761430157,0.3740809761430157,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0801-04-02-03-12,カシオペア,3,101.0,3,1,0.07990140025996545,0.08575032520716393,2,6,7.0,0.48271769396269243,0.48271769396269243,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0801-04-02-03-12,レモンバーム,16,57.0,6,4,0.0542863527825911,0.07294816318914575,2,9,11.0,0.370967834904526,0.370967834904526,0.0,0.0,-0.0,-0.0,0.0,0.0
