race_id,horse_id,actual_rank,odds,CA_rank,CB_rank,CA_probability,CB_probability,rank_change
2026-0704-10-02-03-07,2023105979,10,185.0,7,7,0.07621525359637646,0.07006743328608205,0
2026-0704-10-02-03-07,2023105323,7,195.0,8,8,0.06238099637648507,0.05336822919834162,0
2026-0704-10-02-03-07,2023102808,11,798.0,9,9,0.02726101156123693,0.030244459479955355,0
2026-0704-10-02-03-07,2023100551,15,443.0,10,10,0.02561868422396977,0.027174447067303726,0
2026-0704-10-02-03-07,2023105643,14,910.0,13,11,0.012313703543875497,0.014772009338912007,2
2026-0704-10-02-03-07,2023105075,5,2850.0,11,12,0.014170122828879713,0.013626186925532512,-1
2026-0704-10-02-03-07,2023101677,6,586.0,12,13,0.012359788587528588,0.01353934129869217,-1
2026-0704-10-02-03-07,2023103501,8,3193.0,14,14,0.009727775532342506,0.010194829859300524,0
2026-0704-10-02-03-07,2023103158,13,1715.0,15,15,0.006991956566339636,0.007343281514589095,0
2026-0704-10-02-03-07,2023100335,16,3090.0,16,16,0.0057892021770592815,0.006274836681590585,0
2026-0704-10-02-03-08,2023110106,1,16.0,1,1,0.2980578906806708,0.2812471212764924,0
2026-0704-10-02-03-08,2023102606,7,63.0,2,2,0.18786611534461667,0.18263916721939924,0
2026-0704-10-02-03-08,2023106968,4,120.0,3,3,0.1568573158240566,0.17338926898697857,0
2026-0704-10-02-03-08,2023110098,10,131.0,4,4,0.1537285408045596,0.15574333916917002,0
2026-0704-10-02-03-08,2021104151,2,67.0,5,5,0.1254850763545079,0.11840042036983513,0
2026-0704-10-02-03-08,2021103451,3,332.0,6,6,0.07861607620171168,0.08656751211890444,0
2026-0704-10-02-03-08,2023103862,8,389.0,8,7,0.061186859773838594,0.07536725440217135,1
2026-0704-10-02-03-08,2022101117,6,331.0,7,8,0.06835458945610642,0.06348175830152877,-1
2026-0704-10-02-03-08,2022110104,5,137.0,9,9,0.052943522715049526,0.05518643180637221,0
2026-0704-10-02-03-08,2022101607,11,484.0,10,10,0.02680911977706479,0.030003961692944715,0
2026-0704-10-02-03-08,2022106874,13,4033.0,12,11,0.016720369179579146,0.017741670625593564,1
2026-0704-10-02-03-08,2022103485,9,761.0,11,12,0.017340957827137612,0.01629406469065784,-1
2026-0704-10-02-03-08,2021104138,12,3023.0,13,13,0.013491458005514554,0.014481646956547243,0
2026-0704-10-02-03-09,2023110055,1,23.0,1,1,0.20861010275621986,0.2099215095831575,0
2026-0704-10-02-03-09,2023102027,11,69.0,2,2,0.09011521609031385,0.09227438141722952,0
2026-0704-10-02-03-09,2023105129,12,1136.0,3,3,0.06483435467082152,0.06277966623768348,0
2026-0704-10-02-03-09,2022103750,8,140.0,5,4,0.055206199708680924,0.05473372173838033,1
2026-0704-10-02-03-09,2022107147,5,52.0,4,5,0.05603128706756252,0.05298813574491484,-1
2026-0704-10-02-03-09,2020105561,3,169.0,8,6,0.03651796015289846,0.05073681995614106,2
2026-0704-10-02-03-09,2023100942,6,94.0,7,7,0.0490034983218053,0.04965178219360443,0
2026-0704-10-02-03-09,2021104671,2,71.0,6,8,0.05308678476199002,0.04789328782254287,-2
2026-0704-10-02-03-09,2023101065,10,593.0,9,9,0.01427929296984746,0.013597185546472617,0
2026-0704-10-02-03-09,2022107258,4,458.0,10,10,0.01190029372724954,0.012272216462612309,0
2026-0704-10-02-03-09,2022106715,7,584.0,11,11,0.009103284144231585,0.008744736618598842,0
2026-0704-10-02-03-09,2022105496,9,202.0,12,12,0.008365123480585103,0.008340720107778483,0
2026-0704-10-02-03-10,2022102427,2,98.0,1,1,0.13318623256942075,0.13267451154837742,0
2026-0704-10-02-03-10,2023105367,4,27.0,2,2,0.11109211886615906,0.11312139044944117,0
2026-0704-10-02-03-10,2022101398,6,435.0,3,3,0.07441547522485989,0.08495824778847491,0
2026-0704-10-02-03-10,2021101057,8,99.0,4,4,0.06618146986601905,0.07046226927099067,0
2026-0704-10-02-03-10,2023102991,1,34.0,5,5,0.04877037862807065,0.055345723640706335,0
2026-0704-10-02-03-10,2021100639,11,342.0,7,6,0.03743723918248179,0.05034573984932318,1
2026-0704-10-02-03-10,2019101399,3,70.0,6,7,0.04449972900517052,0.04256347511340462,-1
2026-0704-10-02-03-10,2022100226,7,212.0,8,8,0.033006952104094656,0.03414727196386501,0
