policy,race_id,horse_id,horse_expected_position_delta,position_stability_delta,last1_raw_performance_delta,last1_adjusted_performance_delta,hidden_strength_last1_delta,last1_winner_strength_delta,last1_field_strength_delta,last1_margin_delta,usable_history_count_delta
filter-a,2026-0704-02-01-07-04,2023107192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
filter-a,2026-0704-02-01-07-04,2023107342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
filter-a,2026-0704-02-01-07-04,2023102402,0.0,0.0,-0.27355414729214533,-0.27355414729214533,0.0,0.0,0.0,-12.0,-3
filter-a,2026-0704-02-01-07-04,2023104933,0.001025641025641011,-0.02273825566912344,-0.3448968736279559,-0.3448968736279559,0.0,0.0,0.0,13.0,-4
filter-a,2026-0704-02-01-07-04,2023103518,0.0,0.0,0.11442846810267121,0.11442846810267121,0.0,0.0,0.0,-5.0,-4
filter-a,2026-0704-02-01-07-04,2023102332,0.0,0.0,0.34986604883093975,0.34986604883093975,0.0,0.0,0.0,-11.0,-2
filter-a,2026-0704-02-01-07-04,2023103668,0.0,0.0,0.0023995063348238865,0.0023995063348238865,0.0,0.0,0.0,-4.0,-4
filter-a,2026-0704-02-01-07-04,2023106965,0.0,0.0,0.1909994308776647,0.1909994308776647,0.0,0.0,0.0,-8.0,-4
filter-a,2026-0704-02-01-07-04,2023104669,0.0,0.0,-0.026176145232079284,-0.026176145232079284,0.0,0.0,0.0,1.0,-4
filter-a,2026-0704-02-01-07-04,2023101675,0.0,0.0,-0.14426961771358157,-0.14426961771358157,0.0,0.0,0.0,9.0,-3
filter-a,2026-0704-02-01-07-04,2023100610,0.0,0.0,0.1755583605811406,0.1755583605811406,0.0,0.0,0.0,-3.0,-3
filter-a,2026-0704-02-01-07-04,2023103612,0.0,0.0,-0.019693005345221115,-0.019693005345221115,0.0,0.0,0.0,4.0,-3
filter-a,2026-0704-02-01-07-04,2023101873,0.4,-0.2,-0.13440134538235185,-0.1631012444596298,-0.028699899077277963,0.0,0.0,19.0,-4
filter-a,2026-0704-02-01-07-04,2023105797,0.0,0.0,-0.14288566068249764,-0.14288566068249764,0.0,0.0,0.0,4.0,-2
filter-a,2026-0704-02-01-07-04,2023102151,0.0,0.0,-0.6497230739189181,-0.6497230739189181,0.0,0.0,0.0,-1.0,-4
filter-a,2026-0704-02-01-07-04,2023106291,0.0,0.0,-0.4147463201673443,-0.4147463201673443,0.0,0.0,0.0,-10.0,-3
filter-a,2026-0704-02-01-07-05,2024105553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
filter-a,2026-0704-02-01-07-05,2024104218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
filter-a,2026-0704-02-01-07-05,2024104113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
filter-a,2026-0704-02-01-07-05,2024105019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
filter-a,2026-0704-02-01-07-05,2024103569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
filter-a,2026-0704-02-01-07-06,2023101756,0.47222222222222227,-0.17054741203866575,-0.06401104326313911,-0.056576952136139336,0.007434091126999776,0.0,0.0,19.0,-4
filter-a,2026-0704-02-01-07-06,2023103577,-0.40032051282051284,-0.09637751762735189,-0.21501852043677305,-0.20751781686174753,0.007500703575025525,0.0,0.0,9.0,-4
filter-a,2026-0704-02-01-07-06,2023101910,0.0,0.0,-0.3375527724292489,-0.3375527724292489,0.0,0.0,0.0,-13.0,-5
filter-a,2026-0704-02-01-07-06,2023103441,-0.21512820512820519,-0.11610147684550258,-0.02679139400274505,-0.009430282891633945,0.017361111111111105,0.0,0.0,15.0,-4
filter-a,2026-0704-02-01-07-06,2023106726,0.0,0.0,-0.2890670363723885,-0.2890670363723885,0.0,0.0,0.0,-17.0,-2
filter-a,2026-0704-02-01-07-06,2023100637,0.0,0.0,-0.3424003539704324,-0.3424003539704324,0.0,0.0,0.0,-20.0,-2
filter-a,2026-0704-02-01-07-06,2023103065,0.0,0.0,-0.1575511747577112,-0.1575511747577112,0.0,0.0,0.0,-7.0,-4
filter-a,2026-0704-02-01-07-06,2023101046,0.1433333333333333,-0.12364824660660939,0.12260956973291853,0.12951292279011772,0.006903353057199191,0.0,0.0,-14.0,-4
filter-a,2026-0704-02-01-07-06,2023104158,0.011904761904761918,-0.07299861769883757,0.2025729080207333,0.1982583123599838,-0.004314595660749487,0.0,0.0,-9.0,-4
filter-a,2026-0704-02-01-07-06,2023101091,-0.281025641025641,-0.21956624504504813,-0.4045827114327846,-0.40425817333352126,0.00032453809926336064,0.0,0.0,-5.0,-5
