race_id,date,racecourse,surface,distance,class_code,race_class_label,race_class_score,top1_horse_id,top1_horse_name,top1_popularity,top1_popularity_band,top1_odds,top1_probability,p2_probability,p3_probability,gap_1_2,gap_2_3,gap_1_3,ratio_1_2,top1_actual_rank,top1_is_win,top1_is_place,top1_win_payout,top1_place_payout,market_probability,edge,expected_value
2026-0705-02-01-08-03,2026-07-05,函館,芝,1700.0,grade:unknown|condition:12,UNKNOWN,0,2023110069,ゴンフィンガー,1,1番人気,23.0,0.1573154344104254,0.08977954727158627,0.08302601873980053,0.06753588713883912,0.006753528531785735,0.07428941567062486,1.7522413421682859,3,0,1,0.0,110.0,0.043478260869565216,0.11383717354086018,3.618254991439784
2026-0705-02-01-08-04,2026-07-05,函館,芝,1200.0,grade:unknown|condition:12,UNKNOWN,0,2023105952,ブルーエ,4,4〜6番人気,68.0,0.27347368449394993,0.2534699244790884,0.18909988256077534,0.020003760014861538,0.06437004191831305,0.08437380193317459,1.0789196590324146,6,0,0,0.0,0.0,0.014705882352941176,0.25876780214100875,18.596210545588594
2026-0705-02-01-08-05,2026-07-05,函館,芝,1800.0,grade:unknown|condition:11,UNKNOWN,0,2024106438,ショウナンガレオン,1,1番人気,13.0,0.12872941367401136,0.12872941367401136,0.12872941367401136,0.0,0.0,0.0,1.0,1,1,1,130.0,110.0,0.07692307692307693,0.051806336750934434,1.6734823777621477
2026-0705-02-01-08-06,2026-07-05,函館,芝,2000.0,grade:unknown|condition:12,UNKNOWN,0,2023103888,ショウナンマルチ,1,1番人気,23.0,0.29877179197734427,0.22524039308532234,0.1326333458433384,0.07353139889202193,0.09260704724198393,0.16613844613400586,1.3264574257076873,3,0,1,0.0,120.0,0.043478260869565216,0.2552935311077791,6.871751215478918
2026-0705-02-01-08-07,2026-07-05,函館,芝,1000.0,grade:unknown|condition:13,UNKNOWN,0,2023104849,ムーンブランシュ,1,1番人気,26.0,0.18027298448681217,0.10576446180143421,0.10043257774878976,0.07450852268537796,0.005331884052644453,0.07984040673802241,1.7044759781906968,5,0,0,0.0,0.0,0.038461538461538464,0.1418114460252737,4.687097596657116
2026-0705-02-01-08-08,2026-07-05,函館,芝,1700.0,grade:unknown|condition:13,UNKNOWN,0,2022104847,ナクライト,2,2〜3番人気,36.0,0.2825744181909006,0.241171643135303,0.17412039017533323,0.04140277505559761,0.06705125295996978,0.10845402801556739,1.1716734791758652,5,0,0,0.0,0.0,0.027777777777777776,0.25479664041312283,10.172679054872422
2026-0705-02-01-08-09,2026-07-05,函館,芝,1200.0,grade:E|condition:13,UNKNOWN,0,2022103594,サンタアニタ,4,4〜6番人気,86.0,0.17857092490281581,0.17848487842574284,0.0766874605477097,8.604647707297075e-05,0.10179741787803315,0.10188346435510612,1.0004820939332895,1,1,1,860.0,240.0,0.011627906976744186,0.16694301792607164,15.35709954164216
2026-0705-02-01-08-10,2026-07-05,函館,芝,2600.0,grade:E|condition:13,UNKNOWN,0,2023101116,ゴールデンパゴーダ,5,4〜6番人気,123.0,0.21592476198881497,0.19122698851817072,0.181043752170673,0.024697773470644252,0.01018323634749771,0.03488100981814196,1.129154224840483,11,0,0,0.0,0.0,0.008130081300813009,0.20779468068800197,26.55874572462424
2026-0705-02-01-08-11,2026-07-05,函館,芝,1700.0,grade:L|condition:13,LISTED,5,2022105028,プロミストジーン,1,1番人気,42.0,0.256057667714285,0.23157541009626728,0.13524212155980364,0.024482257618017728,0.09633328853646364,0.12081554615448137,1.1057204545501627,5,0,0,0.0,0.0,0.023809523809523808,0.2322481439047612,10.75442204399997
2026-0705-02-01-08-12,2026-07-05,函館,芝,1200.0,grade:unknown|condition:13,UNKNOWN,0,2022101405,ララバニュルス,1,1番人気,23.0,0.28497036383700786,0.11408088968587281,0.10178018089737667,0.17088947415113503,0.012300708788496137,0.18319018293963119,2.4979675791597296,1,1,1,230.0,110.0,0.043478260869565216,0.24149210296744264,6.554318368251181
2026-0705-03-02-04-01,2026-07-05,福島,芝,1700.0,grade:unknown|condition:12,UNKNOWN,0,2023104394,バーヴァンシー,1,1番人気,40.0,0.1033504878461487,0.05755113523523243,0.054983273899696594,0.04579935261091627,0.002567861335535833,0.0483672139464521,1.795802766074338,5,0,0,0.0,0.0,0.025,0.0783504878461487,4.1340195138459475
2026-0705-03-02-04-02,2026-07-05,福島,芝,1200.0,grade:unknown|condition:12,UNKNOWN,0,2023101149,ブロークンハート,2,2〜3番人気,35.0,0.18369551728142514,0.13278773737054528,0.08863648575543893,0.05090777991087986,0.04415125161510634,0.0950590315259862,1.3833771168855846,9,0,0,0.0,0.0,0.02857142857142857,0.15512408870999655,6.42934310484988
